Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Spain,ESP,1.360673017
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-2.558477446
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,3.070483794
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ukraine,UKR,-6.552618891
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,1.799999998
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,0.644844832
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,5.458986151
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,2.228791014
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,10.27918702
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jamaica,JAM,0.694621084
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mozambique,MOZ,7.443837429
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Trinidad and Tobago,TTO,-0.575925253
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greenland,GRL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,633.9478643
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,61995.8297
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1086.800087
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,15360.0618
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4884.368562
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7153.447859
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,11728.79939
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4852.318649
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1094.576688
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,50185.4815
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,14566.14905
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,7683.502038
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,7918.0789
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,13480.65075
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,19744.55861
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61330.91263
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,49887.89697
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,42696.77883
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,47902.65288
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,1441.636453
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,21673.78107
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2434.280046
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,40215.48965
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,14117.97668
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,52036.73181
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1576.817669
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3499.588735
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,5442.874771
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,6484.529337
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,55503.32726
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,35365.10412
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,37582.84624
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,38139.42236
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,12806.56511
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People’s Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,116612.8842
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,11305.9001
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,25125.09562
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,10353.44798
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1227.137217
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,703.1825707
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,52157.40687
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1960.490908
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,97005.49856
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1320.55355
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,2873.088189
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,14341.85993
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,24406.47646
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,6200.173221
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,56007.28821
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,24020.67286
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6498.589
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,5969.940116
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,10303.69871
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,44238.59977
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,54539.66558
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,734.7440153
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,2052.319084
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,16737.9731
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,931.1981847
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,794.087082
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,14051.59912
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4429.650075
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3861.91557
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3186.60876
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,22124.36722
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,12712.43132
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,85814.58857
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,59180.19898
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29718.50022
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12324.93879
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,46412.11727
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3104.658296
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4568.568827
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51322.63997
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3124.085434
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3365.707421
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,573.5659603
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5108.357038
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,623.1979366
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,19325.3855
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,43364.88285
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Afghanistan,AFG,-1.714611023
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Australia,AUS,0.985192569
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bangladesh,BGD,4.780900045
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Barbados,BRB,-0.111608403
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belize,BLZ,1.860105794
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Botswana,BWA,1.186017586
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,-0.779984327
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bosnia and Herzegovina,BIH,1.240188699
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cambodia,KHM,5.328191738
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Canada,CAN,1.35382449
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Chile,CHL,0.80493702
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,6.755778416
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Colombia,COL,3.404941921
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Croatia,HRV,0.046268487
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cuba,CUB,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Czech Republic,CZE,2.607037043
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Denmark,DNK,0.74975356
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Finland,FIN,-1.11821281
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,France,FRA,-0.156175468
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Germany,DEU,3.038370141
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ghana,GHA,1.570610426
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Greece,GRC,1.023544213
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Honduras,HND,1.627035281
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Hong Kong SAR, China",HKG,1.913419219
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Hungary,HUN,4.32798042
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Iceland,ISL,0.700112085
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,5.935920052
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Indonesia,IDN,3.708689412
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Iran, Islamic Rep.",IRN,3.019819027
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Iraq,IRQ,-3.247288103
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ireland,IRL,8.017662174
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Italy,ITA,-0.822252157
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Israel,ISR,1.201672112
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Japan,JPN,0.498893204
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kazakhstan,KAZ,2.669481002
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Korea, Dem. People’s Rep.",PRK,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Luxembourg,LUX,1.645083579
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malaysia,MYS,4.464190905
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malta,MLT,2.495036057
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mexico,MEX,0.903310399
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Myanmar,MMR,7.075107994
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nepal,NPL,4.710923672
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Netherlands,NLD,1.055409463
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nicaragua,NIC,3.378238983
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Norway,NOR,0.775900289
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Pakistan,PAK,2.495936072
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Philippines,PHL,4.539507458
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Poland,POL,3.359902139
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Puerto Rico,PRI,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Saudi Arabia,SAU,1.338548405
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Serbia,SRB,-1.369325965
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Singapore,SGP,1.927912754
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Slovenia,SVN,3.004923037
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,3.46E-06
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Thailand,THA,0.408924549
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Turkey,TUR,1.292371064
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United Arab Emirates,ARE,2.556199789
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United States,USA,1.574366554
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Uganda,UGA,1.816473956
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Vietnam,VNM,4.851264023
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Uruguay,URY,2.890175119
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Zimbabwe,ZWE,1.479476424
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sierra Leone,SLE,2.292544184
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,-1.074683305
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Georgia,GEO,5.9988466
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Armenia,ARM,3.118832635
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Monaco,MCO,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Morocco,MAR,1.12347387
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Portugal,PRT,1.451337476
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Panama,PAN,4.35726377
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Switzerland,CHE,0.759979218
